#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Chromosomes	Organelles	Plasmids	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Populus trichocarpa	3694	PRJNA10772	10772	Plants	Land Plants	417.287	34.1276	GCA_000002775.2	19	1	-	AARH02	2514	41571	45942	2006/09/14	2014/08/06	Chromosome	US DOE Joint Genome Institute (JGI	SAMN02953657
Verticillium dahliae JR2	1202531	PRJNA175765	175765	Fungi	Ascomycetes	36.1503	53.8819	GCA_000400815.2	8	-	-	-	8	-	-	2014/08/29	2014/08/29	Complete Genome	Wageningen University	SAMN02919271
Podiceps cristatus	345573	PRJNA212905	212905	Animals	Birds	1134.92	41.5	GCA_000699545.1	-	-	-	JMFS01	82923	12155	11707	2014/05/07	2014/06/11	Scaffold	BGI	SAMN02339891
Kluyveromyces marxianus	4911	PRJDB2926	254125	Fungi	Ascomycetes	11.1654	40.1	GCA_000747785.1	-	-	-	BBIL01	36	-	-	2014/07/01	2014/08/23	Contig	National Institute of Advanced Industrial Science and Technology	SAMD00017758
Moesziomyces antarcticus	84753	PRJDB2910	257785	Fungi	Basidiomycetes	18.112	60.9	GCA_000747765.1	-	-	-	BBIZ01	197	6879	6766	2014/08/07	2014/10/28	Scaffold	National Institute of Advanced Industrial Science and Technology	SAMD00018595
Fukomys damarensis	885580	PRJNA190641	190641	Animals	Mammals	2333.89	40.5	GCA_000743615.1	-	-	-	AYUG01	74730	29805	42818	2014/08/22	2014/09/04	Scaffold	BGI	SAMN02339281
Chaetura pelagica	8897	PRJNA210808	210808	Animals	Birds	1119.19	41.6	GCA_000747805.1	-	-	-	AVOS01	19072	14343	15942	2014/09/04	2014/09/04	Scaffold	BGI	SAMN03018471
Talaromyces marneffei PM1	1077442	PRJNA251717	251717	Fungi	Ascomycetes	28.3373	46.7	GCA_000750115.1	-	-	-	JPOX01	216	10040	13044	2014/09/08	2014/09/08	Scaffold	Texas A&M University	SAMN02191664
Brassica napus	3708	PRJEB5043	259277	Plants	Land Plants	848.2	37.8	GCA_000751015.1	-	-	-	CCCW01	20899	101040	101040	2014/08/22	2015/01/30	Scaffold	GSC	SAMEA3139102
Daldinia eschscholtzii	292717	PRJEB6287	258449	Fungi	Ascomycetes	35.5399	46.8	GCA_000751375.1	-	-	-	CCED01	1944	-	-	2014/09/05	2014/09/05	Contig	University Malaya	SAMEA2518986
Stylonychia lemnae	5949	PRJEB5807	253863	Protists	Other Protists	50.1645	31.7	GCA_000751175.1	-	-	-	CCKQ01	-	20740	20740	2014/09/05	2014/09/05	Contig	IZB	SAMEA2594040
Capreolus capreolus	9858	PRJEB4372	213099	Animals	Mammals	2785.38	-	GCA_000751575.1	-	-	-	CCMK01	3088511	-	-	2014/09/05	2014/09/05	Scaffold	UNIMELB	SAMEA2531521
Amphilophus citrinellus	61819	PRJEB6974	259329	Animals	Fishes	844.903	-	GCA_000751415.1	-	-	-	CCOE01	6637	-	-	2014/09/06	2014/09/06	Scaffold	UNIVERSITY OF KONSTANZ	SAMEA2698536
Pseudodiploria strigosa	1428006	PRJEB6871	257057	Animals	Other Animals	167.154	-	GCA_000751095.1	-	-	-	CCMS01	-	-	-	2014/09/06	2014/09/06	Contig	Institute of Genetics	SAMEA2673257
Phytophthora pisi	1131323	PRJEB6298	253919	Protists	Other Protists	58.8567	-	GCA_000751395.1	-	-	-	CCEW01	7667	-	-	2014/07/22	2014/07/22	Scaffold	Uppsala BioCenter	SAMEA2531522
Meloidogyne floridensis	298350	PRJEB6016	247947	Animals	Roundworms	96.6731	-	GCA_000751915.1	-	-	-	CCDZ01	58696	-	-	2014/06/11	2014/06/11	Scaffold	BANG	SAMEA2521450
Amaranthus hypochondriacus	28502	PRJNA214803	214803	Plants	Land Plants	502.148	42.2	GCA_000753965.1	-	-	-	JPXE01	117340	-	-	2014/09/09	2014/09/10	Scaffold	Institute of Bioinformatics and Applied Biotechnology	SAMN02315103
Leishmania panamensis	5679	PRJNA261718	261718	Protists	Kinetoplasts	30.6888	57.3879	GCA_000755165.1	35	-	-	-	35	8048	7748	2014/09/16	2015/03/09	Chromosome	NCBI	SAMN02991529
Meyerozyma caribbica MG20W	1091232	PRJDA73189	73189	Fungi	Ascomycetes	10.6093	43.8	GCA_000755205.1	-	-	-	BADS01	9	-	-	2014/09/04	2015/09/15	Contig	Gyeongbuk institute for marine Bio-industry	SAMD00036588
Saccharomyces cerevisiae	4932	PRJNA255317	255317	Fungi	Ascomycetes	11.2113	-	GCA_000756235.1	-	-	-	JPXB01	-	-	-	2014/09/18	2014/09/18	Contig	Washington University in Saint Louis	SAMN02912080
Saccharomyces cerevisiae M5	1337645	PRJNA255314	255314	Fungi	Ascomycetes	11.1042	-	GCA_000756245.1	-	-	-	JPXA01	-	-	-	2014/09/18	2014/09/18	Contig	Washington University in Saint Louis	SAMN02912079
Drosophila simulans	7240	PRJNA170244	170244	Animals	Insects	124.966	42.9583	GCA_000754195.2	6	1	-	JPYS01	7619	15229	24119	2014/08/18	2015/07/21	Chromosome	Princeton University	SAMN01086904
Phytomonas sp. isolate EM1	134006	PRJEB1535	238194	Protists	Kinetoplasts	17.7809	48	GCA_000582765.1	-	-	-	CAVQ01	138	6381	6381	2014/02/12	2015/01/30	Scaffold	Genoscope CEA	SAMEA3138948
Papio anubis	9555	PRJNA54005	54005	Animals	Mammals	2948.4	41.1229	GCA_000264685.1	21	1	-	AHZZ01	72501	38695	54082	2012/05/30	2014/08/11	Chromosome	Baylor College of Medicine	SAMN02981400
Steinernema carpocapsae	34508	PRJNA202318	202318	Animals	Roundworms	85.9347	45.5	GCA_000757645.1	-	-	-	AZBU01	1562	-	-	2014/09/24	2015/10/01	Scaffold	California Institute of Technology	SAMN03032171
Nilaparvata lugens	108931	PRJNA177647	177647	Animals	Insects	1140.79	36.1	GCA_000757685.1	-	-	-	AOSB01	46558	-	-	2014/09/24	2014/12/18	Scaffold	Nilaparvata lugens Genome Consortium	SAMN03077662
Steinernema feltiae	52066	PRJNA204661	204661	Animals	Roundworms	82.5044	46.7	GCA_000757705.1	-	-	-	AZBV01	5834	-	-	2014/09/24	2015/10/01	Scaffold	California Institute of Technology	SAMN03067857
Steinernema scapterisci	90986	PRJNA204942	204942	Animals	Roundworms	79.6513	47.9	GCA_000757745.1	-	-	-	AZBW01	2864	-	-	2014/09/24	2015/10/01	Scaffold	California Institute of Technology	SAMN03067855
Steinernema glaseri	37863	PRJNA204943	204943	Animals	Roundworms	92.8363	47.2	GCA_000757755.1	-	-	-	AZBX01	7510	-	-	2014/09/24	2015/10/01	Scaffold	California Institute of Technology	SAMN03067856
Blastocystis sp. ST4	1529846	PRJNA257240	257240	Protists	Other Protists	12.9194	39.7	GCA_000743755.1	-	-	-	JPUL02	1301	5707	5707	2014/08/15	2015/11/03	Scaffold	Clermont Universite, Universite Blaise Pascal, CNRS UMR 6023	SAMN02949638
Nilaparvata lugens yeast-like symbiont	36927	PRJNA177649	177649	Fungi	Ascomycetes	26.8096	55	GCA_000758425.1	-	-	-	JRMI01	578	-	-	2014/09/26	2014/12/18	Scaffold	Nilaparvata lugens Genome Consortium	SAMN03081412
Mitosporidium daphniae	1485682	PRJNA243305	243305	Fungi	Other Fungi	5.63696	43	GCA_000760515.1	-	-	-	JMKJ01	612	3330	3330	2014/09/30	2014/10/30	Contig	Illinois Institute of Technology	SAMN02714227
Choloepus hoffmanni	9358	PRJNA30809	30809	Animals	Mammals	3286.01	40	GCA_000164785.2	-	-	-	ABVD02	269084	-	-	2008/09/15	2014/09/30	Scaffold	Broad Institute	SAMN02146716
Blattella germanica	6973	PRJNA203136	203136	Animals	Insects	2037.2	36.7	GCA_000762945.1	-	-	-	JPZV01	24792	-	-	2014/10/02	2014/10/02	Scaffold	The i5k Initiative	SAMN02644979
Castanea mollissima	60419	PRJNA46687	46687	Plants	Land Plants	833.241	36.1	GCA_000763605.1	-	-	-	JRKL01	133589	-	-	2014/10/03	2014/10/06	Scaffold	Clemson University Genomics Institute	SAMN02640765
Hyalella azteca	294128	PRJNA243935	243935	Animals	Other Animals	1178.85	43.6	GCA_000764305.1	-	-	-	JQDR01	10380	-	-	2014/10/06	2014/10/06	Scaffold	Baylor College of Medicine	SAMN02978968
Pythium insidiosum	114742	PRJNA258227	258227	Protists	Other Protists	45.6097	-	GCA_000764265.1	-	-	-	JRHR01	8992	-	-	2014/10/06	2016/03/17	Scaffold	University of Florida	SAMN03025308
Danio rerio	7955	PRJNA11776	11776	Animals	Fishes	1371.72	36.6591	GCA_000002035.3	25	1	-	-	3399	39803	47861	2005/07/05	2014/09/24	Chromosome	Genome Reference Consortium	SAMN03020626
Pichia kudriavzevii	4909	PRJNA257499	257499	Fungi	Ascomycetes	12.9406	38.5	GCA_000764455.1	-	-	-	JQFK01	2482	7107	7107	2014/10/07	2014/10/07	Scaffold	University of Illinois Urbana-Champaign, Carver Biotechnology Center	SAMN02952138
Ovis aries musimon	9938	PRJEB3141	255090	Animals	Mammals	2589.83	42.4	GCA_000765115.1	-	-	-	CBYI01	6173	28073	53571	2014/07/11	2015/01/30	Scaffold	EBI	SAMEA3146279
Mastigamoeba balamuthi ATTC 30984	1313166	PRJEB1507	222604	Protists	Other Protists	48.5931	-	GCA_000765095.1	-	-	-	CBKX01	-	-	-	2013/10/08	2015/01/30	Contig	IMG	SAMEA3146266
Trametes cinnabarina	5643	PRJEB5237	251621	Fungi	Basidiomycetes	33.6689	55.6	GCA_000765035.1	-	-	-	CCBP01	776	10419	10233	2014/06/04	2015/01/30	Scaffold	INRA_UMR1163_BCF	SAMEA3158467
Capra aegagrus	9923	PRJEB3140	255089	Animals	Mammals	2583.32	42.3	GCA_000765075.1	-	-	-	CBYH01	6616	-	-	2014/07/11	2015/01/30	Scaffold	EBI	SAMEA3146278
Aquila chrysaetos canadensis	216574	PRJNA256103	256103	Animals	Birds	1192.74	41.9001	GCA_000766835.1	-	1	-	JRUM01	1142	17520	31284	2014/10/12	2014/10/14	Scaffold	The Genome Institute - Washington University School of Medicine	SAMN03079786
Solanum lycopersicum	4081	PRJNA119	119	Plants	Land Plants	823.786	35.7097	GCA_000188115.2	12	1	-	AEKE02	3224	31022	36149	2010/12/10	2014/10/16	Chromosome	Solanaceae Genomics Project	SAMN02981290
Pan troglodytes	9598	PRJNA12552	12552	Animals	Mammals	3309.58	41.8745	GCA_000001515.4	25	1	-	AACZ03	27005	34813	56786	2003/12/06	2014/08/11	Chromosome	The International Chimpanzee Chromosome 22 Consortium	SAMN02981217
Dermatophagoides farinae	6954	PRJNA174061	174061	Animals	Other Animals	53.5453	31.1	GCA_000767015.1	-	-	-	ASGP01	515	-	-	2014/10/15	2014/10/15	Scaffold	The Chinese University of Hong Kong	SAMN02383949
Taiwanofungus camphoratus	196114	PRJNA244959	244959	Fungi	Basidiomycetes	32.1556	50.6	GCA_000766995.1	-	-	-	JNBV01	360	-	-	2014/10/15	2014/11/12	Scaffold	Academia Sinica	SAMN02730102
Danio rerio	7955	PRJNA11776	11776	Animals	Fishes	1411.76	36.9	GCA_000767325.1	-	-	-	CABZ01	32031	-	-	2010/05/21	2014/09/24	Scaffold	Genome Reference Consortium	SAMEA3146315
Camelus dromedarius	9838	PRJNA234474	234474	Animals	Mammals	2004.06	41.3	GCA_000767585.1	-	1	-	JDVD01	32573	24470	26729	2014/10/21	2014/11/13	Scaffold	King Abdulaziz City for Science and Technology	SAMN03000646
Saccharomyces cerevisiae	4932	PRJNA260311	260311	Fungi	Ascomycetes	11.6064	38.3	GCA_000766165.2	-	-	-	JRIB01	851	-	-	2014/10/12	2014/10/12	Scaffold	Stanford University	SAMN03020214
Saccharomyces cerevisiae	4932	PRJNA260311	260311	Fungi	Ascomycetes	11.6469	38.3	GCA_000766175.2	-	-	-	JRIC01	607	-	-	2014/10/12	2014/10/12	Scaffold	Stanford University	SAMN03020215
Saccharomyces cerevisiae	4932	PRJNA260311	260311	Fungi	Ascomycetes	11.6247	38.3	GCA_000766185.2	-	-	-	JRIE01	554	-	-	2014/10/12	2014/10/12	Scaffold	Stanford University	SAMN03020217
Saccharomyces cerevisiae	4932	PRJNA260311	260311	Fungi	Ascomycetes	11.5563	38.3	GCA_000766195.2	-	-	-	JRID01	670	-	-	2014/10/12	2014/10/12	Scaffold	Stanford University	SAMN03020216
Saccharomyces cerevisiae	4932	PRJNA260311	260311	Fungi	Ascomycetes	11.645	38.1	GCA_000766245.2	-	-	-	JRIF01	413	-	-	2014/10/12	2014/10/12	Scaffold	Stanford University	SAMN03020218
Saccharomyces cerevisiae	4932	PRJNA260311	260311	Fungi	Ascomycetes	11.6172	38.1	GCA_000766265.2	-	-	-	JRIH01	451	-	-	2014/10/12	2014/10/12	Scaffold	Stanford University	SAMN03020220
Saccharomyces cerevisiae	4932	PRJNA260311	260311	Fungi	Ascomycetes	11.6177	38.3	GCA_000766275.2	-	-	-	JRIG01	624	-	-	2014/10/12	2014/10/12	Scaffold	Stanford University	SAMN03020219
Saccharomyces cerevisiae	4932	PRJNA260311	260311	Fungi	Ascomycetes	11.8442	38.1	GCA_000766305.2	-	-	-	JRIL01	577	-	-	2014/10/12	2014/10/12	Scaffold	Stanford University	SAMN03020224
Saccharomyces cerevisiae	4932	PRJNA260311	260311	Fungi	Ascomycetes	11.508	38.3	GCA_000766315.2	-	-	-	JRII01	614	-	-	2014/10/12	2014/10/12	Scaffold	Stanford University	SAMN03020221
Saccharomyces cerevisiae	4932	PRJNA260311	260311	Fungi	Ascomycetes	11.668	38.1	GCA_000766375.2	-	-	-	JRIO01	344	-	-	2014/10/12	2014/10/12	Scaffold	Stanford University	SAMN03020227
Saccharomyces cerevisiae	4932	PRJNA260311	260311	Fungi	Ascomycetes	11.6368	38.1	GCA_000766395.2	-	-	-	JRIN01	388	-	-	2014/10/12	2014/10/12	Scaffold	Stanford University	SAMN03020226
Saccharomyces cerevisiae	4932	PRJNA260311	260311	Fungi	Ascomycetes	11.5786	38.1	GCA_000766415.2	-	-	-	JRIQ01	389	-	-	2014/10/12	2014/10/12	Scaffold	Stanford University	SAMN03020229
Saccharomyces cerevisiae	4932	PRJNA260311	260311	Fungi	Ascomycetes	11.6149	38.1	GCA_000766435.2	-	-	-	JRIR01	418	-	-	2014/10/12	2014/10/12	Scaffold	Stanford University	SAMN03020230
Saccharomyces cerevisiae	4932	PRJNA260311	260311	Fungi	Ascomycetes	11.6031	38.1	GCA_000766455.2	-	-	-	JRIZ01	431	-	-	2014/10/12	2014/10/12	Scaffold	Stanford University	SAMN03020238
Saccharomyces cerevisiae	4932	PRJNA260311	260311	Fungi	Ascomycetes	11.6336	38.1	GCA_000766475.2	-	-	-	JRIU01	415	-	-	2014/10/12	2014/10/12	Scaffold	Stanford University	SAMN03020233
Saccharomyces cerevisiae	4932	PRJNA260311	260311	Fungi	Ascomycetes	11.5904	38.2	GCA_000766495.2	-	-	-	JRIV01	389	-	-	2014/10/12	2014/10/12	Scaffold	Stanford University	SAMN03020234
Saccharomyces cerevisiae	4932	PRJNA260311	260311	Fungi	Ascomycetes	11.597	38.1	GCA_000766515.2	-	-	-	JRIT01	402	-	-	2014/10/12	2014/10/12	Scaffold	Stanford University	SAMN03020232
Saccharomyces cerevisiae	4932	PRJNA260311	260311	Fungi	Ascomycetes	11.6271	38.1	GCA_000766535.2	-	-	-	JRIX01	409	-	-	2014/10/12	2014/10/12	Scaffold	Stanford University	SAMN03020236
Saccharomyces cerevisiae	4932	PRJNA260311	260311	Fungi	Ascomycetes	11.6473	38.1	GCA_000766555.2	-	-	-	JRIY01	403	-	-	2014/10/12	2014/10/12	Scaffold	Stanford University	SAMN03020237
Saccharomyces cerevisiae	4932	PRJNA260311	260311	Fungi	Ascomycetes	11.6166	38.1	GCA_000766575.2	-	-	-	JRIS01	397	-	-	2014/10/12	2014/10/12	Scaffold	Stanford University	SAMN03020231
Saccharomyces cerevisiae	4932	PRJNA260311	260311	Fungi	Ascomycetes	11.6059	38.1	GCA_000766595.2	-	-	-	JRIW01	366	-	-	2014/10/12	2014/10/12	Scaffold	Stanford University	SAMN03020235
Saccharomyces cerevisiae	4932	PRJNA260311	260311	Fungi	Ascomycetes	11.6202	38.3	GCA_000766615.2	-	-	-	JRIK01	538	-	-	2014/10/12	2014/10/12	Scaffold	Stanford University	SAMN03020223
Saccharomyces cerevisiae	4932	PRJNA260311	260311	Fungi	Ascomycetes	11.533	38.1	GCA_000766635.2	-	-	-	JRIP01	325	-	-	2014/10/12	2014/10/12	Scaffold	Stanford University	SAMN03020228
Saccharomyces cerevisiae	4932	PRJNA260311	260311	Fungi	Ascomycetes	11.5047	38.3	GCA_000767965.1	-	-	-	JRIJ01	480	-	-	2014/10/12	2014/10/12	Scaffold	Stanford University	SAMN03020222
Saccharomyces cerevisiae	4932	PRJNA260311	260311	Fungi	Ascomycetes	11.3773	38.4	GCA_000768095.1	-	-	-	JRIM01	1348	-	-	2014/10/12	2014/10/12	Scaffold	Stanford University	SAMN03020225
Camelus bactrianus	9837	PRJNA183605	183605	Animals	Mammals	1992.66	41.4	GCA_000767855.1	-	1	-	JARL01	35455	24287	28601	2014/10/16	2014/10/23	Scaffold	Inner Mongolia Agricultural University, P.R.China	SAMN02953968
Crocodylus porosus	8502	PRJNA163131	163131	Animals	Reptiles	2120.57	44.3	GCA_000768395.1	-	-	-	JRXG01	23365	-	-	2014/10/17	2014/10/24	Scaffold	The International Crocodilian Genomes Working Group	SAMN03102602
Acremonium chrysogenum ATCC 11550	857340	PRJNA248608	248608	Fungi	Ascomycetes	28.5905	55.1726	GCA_000769265.1	-	1	-	JPKY01	541	9050	8901	2014/08/15	2014/10/22	Scaffold	Ruhr-Universitaet Bochum	SAMN02799700
Cyclospora cayetanensis	88456	PRJNA256967	256967	Protists	Apicomplexans	46.155	51.3	GCA_000769155.1	-	-	-	JROU01	4194	-	-	2014/10/27	2014/10/27	Scaffold	CDC	SAMN02944928
Fusarium avenaceum	40199	PRJNA253730	253730	Fungi	Ascomycetes	43.1681	47.983	GCA_000769295.1	-	1	-	JQGE01	78	-	-	2014/10/10	2014/12/02	Scaffold	Collaboration between Erik Lysøe (Department of Plant Health and Plant Protection, Bioforsk - Norwegian Institute of Agricultural and Environmental Research) and Linda Harris (Eastern Cereal & Oilseed Research Centre, Agriculture & Agri-Food Canada).	SAMN02850900
Fusarium avenaceum	40199	PRJNA253730	253730	Fungi	Ascomycetes	41.5907	48.5	GCA_000769215.1	-	-	-	JPYM01	83	13217	13092	2014/10/10	2015/01/28	Scaffold	Collaboration between Erik Lysøe (Department of Plant Health and Plant Protection, Bioforsk - Norwegian Institute of Agricultural and Environmental Research) and Linda Harris (Eastern Cereal & Oilseed Research Centre, Agriculture & Agri-Food Canada).	SAMN02887289
Fusarium avenaceum	40199	PRJNA253730	253730	Fungi	Ascomycetes	42.7078	47.9828	GCA_000769305.1	-	1	-	JQGD01	105	-	-	2014/10/10	2014/12/02	Scaffold	Collaboration between Erik Lysøe (Department of Plant Health and Plant Protection, Bioforsk - Norwegian Institute of Agricultural and Environmental Research) and Linda Harris (Eastern Cereal & Oilseed Research Centre, Agriculture & Agri-Food Canada).	SAMN02850899
Ciona intestinalis	7719	PRJDA65419	65419	Animals	Other Animals	115.227	36.0218	GCA_000224145.2	15	1	-	EAAA01	1280	14983	15438	2011/04/27	2011/04/27	Chromosome	Organization: Department of Zoology, Graduate School of	-
Rhinopithecus roxellana	61622	PRJNA230020	230020	Animals	Mammals	2899.55	41	GCA_000769185.1	-	1	-	JABR01	135512	28766	37291	2014/10/24	2014/10/28	Scaffold	Novogene	SAMN02427086
Penicillium expansum	27334	PRJNA255745	255745	Fungi	Ascomycetes	32.065	47.6	GCA_000769735.1	-	-	-	JQFY01	270	11023	11023	2014/10/28	2014/10/28	Contig	Center for Genomic Regulation (CRG)	SAMN02928572
Penicillium expansum	27334	PRJNA255747	255747	Fungi	Ascomycetes	32.356	47.5	GCA_000769745.1	-	-	-	JQFZ01	382	11060	11060	2014/10/28	2014/10/28	Contig	Center for Genomic Regulation (CRG)	SAMN02928573
Penicillium expansum	27334	PRJNA255744	255744	Fungi	Ascomycetes	31.087	48.2	GCA_000769755.1	-	-	-	JQFX01	1723	10663	10663	2014/10/28	2014/10/28	Contig	Center for Genomic Regulation (CRG)	SAMN02928571
Saccharomyces uvarum MCYC 623	226127	PRJNA1441	1441	Fungi	Ascomycetes	11.4775	40.2	GCA_000166995.1	-	-	-	AACA01	1098	-	-	2003/03/28	2014/08/06	Contig	Broad Institute	SAMN02953586
Saccharomyces sp. 'boulardii'	252598	PRJNA260553	260553	Fungi	Ascomycetes	11.4069	38.1438	GCA_000769245.1	16	-	-	JRHY01	106	-	-	2014/10/22	2014/10/30	Chromosome	UFMG - Universidade Federal de Minas Gerais	SAMN03024104
Balearica regulorum gibbericeps	100784	PRJNA212879	212879	Animals	Birds	1127.62	41.2001	GCA_000709895.1	-	1	-	JJRR01	53491	15122	16163	2014/06/02	2014/09/05	Scaffold	BGI	SAMN02318095
Chlamydotis macqueenii	187382	PRJNA212891	212891	Animals	Birds	1086.57	41.1	GCA_000695195.1	-	-	-	JMFJ01	59693	14765	15683	2014/05/12	2014/11/14	Scaffold	BGI	SAMN02324157
Penicillium italicum	40296	PRJNA255746	255746	Fungi	Ascomycetes	30.1644	47.3	GCA_000769765.1	-	-	-	JQGA01	1632	9996	9996	2014/10/28	2014/10/28	Contig	Center for Genomic Regulation (CRG)	SAMN02929369
Raphanus raphanistrum subsp. raphanistrum	109997	PRJNA209513	209513	Plants	Land Plants	253.834	-	GCA_000769845.1	-	-	-	JRQH01	-	-	-	2014/10/28	2014/10/28	Contig	Michigan State University	SAMN02213662
Beauveria bassiana D1-5	1245745	PRJNA178080	178080	Fungi	Ascomycetes	36.6923	52.2	GCA_000770705.1	-	-	-	ANFO01	1745	12038	11861	2014/11/03	2014/11/03	Contig	Institute of Plant Protection, Jilin Academy of Agricultural Sciences	SAMN03160332
Paracoccidioides brasiliensis Pb18	502780	PRJNA28733	28733	Fungi	Ascomycetes	29.9525	44.4	GCA_000150735.2	-	-	-	ABKI02	57	8522	8390	2008/03/20	2014/10/24	Scaffold	Broad Institute	SAMN02953720
Geotrichum candidum	1173061	PRJNA243259	243259	Fungi	Ascomycetes	41.3845	47	GCA_000743665.1	-	-	-	JMRO01	560	-	-	2014/08/26	2014/10/06	Contig	Saint-Petersburg State University	SAMN02713643
Sporisorium scitamineum	49012	PRJNA240344	240344	Fungi	Basidiomycetes	19.7768	54.9	GCA_000772675.1	-	-	-	JFOL01	69	-	-	2014/11/06	2014/11/19	Scaffold	Key Lab of Sugarcane Biology and Genetic Breeding, Ministry of Agriculture, P.R.China	SAMN02676898
Saccharomyces cerevisiae	4932	PRJNA237120	237120	Fungi	Ascomycetes	12.5341	38.3	GCA_000773925.1	-	-	-	JSAC01	38	-	-	2014/11/10	2014/11/10	Contig	Pacific Biosciences	SAMN02731377
Candida albicans P78048	1094989	PRJNA75225	75225	Fungi	Ascomycetes	14.5034	33.7	GCA_000773725.1	-	-	-	AJIX01	59	6440	6312	2014/11/05	2014/11/17	Scaffold	Broad Institute	SAMN01048009
Candida albicans GC75	1094988	PRJNA75223	75223	Fungi	Ascomycetes	14.6969	33.7	GCA_000773735.1	-	-	-	AJIW01	73	6439	6310	2014/11/05	2014/11/05	Scaffold	Broad Institute	SAMN00767984
Candida albicans P37005	1094985	PRJNA75217	75217	Fungi	Ascomycetes	14.4736	33.8	GCA_000773745.1	-	-	-	AJIU01	45	6401	6271	2014/11/05	2014/11/17	Scaffold	Broad Institute	SAMN01048006
Candida albicans P94015	1094983	PRJNA75213	75213	Fungi	Ascomycetes	14.7426	33.9	GCA_000773755.1	-	-	-	AJIS01	58	6368	6241	2014/11/05	2014/11/17	Scaffold	Broad Institute	SAMN01048005
Candida albicans P57072	1094990	PRJNA75227	75227	Fungi	Ascomycetes	14.5099	33.7	GCA_000773805.1	-	-	-	AJIY01	45	6385	6254	2014/11/05	2014/11/05	Scaffold	Broad Institute	SAMN00767978
Candida albicans P37037	1094992	PRJNA75231	75231	Fungi	Ascomycetes	14.4758	33.6	GCA_000773825.1	-	-	-	AJJA01	48	6424	6299	2014/11/05	2014/11/17	Scaffold	Broad Institute	SAMN01048011
Candida albicans 12C	1094981	PRJNA75209	75209	Fungi	Ascomycetes	14.897	34.1	GCA_000773845.1	-	-	-	AJIQ01	50	6403	6277	2014/11/10	2014/11/10	Scaffold	Broad Institute	SAMN00767974
Candida albicans P87	1094984	PRJNA75215	75215	Fungi	Ascomycetes	14.461	33.6	GCA_000774085.1	-	-	-	AJIT01	44	6379	6250	2014/11/10	2014/11/10	Scaffold	Broad Institute	SAMN00767982
Vaccinium macrocarpon	13750	PRJNA245813	245813	Plants	Land Plants	414.622	-	GCA_000775335.1	-	-	-	JOTO01	200203	-	-	2014/09/04	2014/09/04	Scaffold	rutgers university	SAMN02739898
Belgica antarctica	315563	PRJNA172148	172148	Animals	Insects	89.5837	38.8	GCA_000775305.1	-	-	-	JPYR01	4997	-	-	2014/09/03	2014/09/03	Scaffold	Stanford University	SAMN02950991
Diospyros lotus	55363	PRJNA256104	256104	Plants	Land Plants	1.10419	39.5	GCA_000774125.1	-	-	-	JRBH01	796	-	-	2014/11/10	2014/11/10	Scaffold	University of California Davis	SAMN03019951
Saccharomyces cerevisiae	4932	PRJNA263135	263135	Fungi	Ascomycetes	11.3861	38.2	GCA_000775555.1	-	-	-	JSFO01	354	-	-	2014/11/12	2014/11/12	Contig	Delft University of Technology	SAMN03097206
Candida albicans 19F	1094987	PRJNA75221	75221	Fungi	Ascomycetes	14.5738	33.7	GCA_000775445.1	-	-	-	AJIV01	60	6410	6277	2014/11/10	2014/11/17	Scaffold	Broad Institute	SAMN01048008
Candida albicans L26	1094982	PRJNA75211	75211	Fungi	Ascomycetes	14.5167	33.6	GCA_000775455.1	-	-	-	AJIR01	57	6418	6291	2014/11/10	2014/11/17	Scaffold	Broad Institute	SAMN01048004
Candida albicans P34048	1094991	PRJNA75229	75229	Fungi	Ascomycetes	14.5429	33.7	GCA_000775465.1	-	-	-	AJIZ01	52	6402	6276	2014/11/10	2014/11/17	Scaffold	Broad Institute	SAMN01048010
Candida albicans P57055	1094996	PRJNA75239	75239	Fungi	Ascomycetes	14.5943	33.7	GCA_000775505.1	-	-	-	AJJB01	56	6415	6287	2014/11/10	2014/11/17	Scaffold	Broad Institute	SAMN01048013
Candida albicans P75063	1094997	PRJNA75241	75241	Fungi	Ascomycetes	14.4537	33.6	GCA_000775525.1	-	-	-	AJJC01	51	6388	6260	2014/11/10	2014/11/17	Scaffold	Broad Institute	SAMN01048014
Nasalis larvatus	43780	PRJNA241312	241312	Animals	Mammals	3011.97	42.2536	GCA_000772465.1	21	-	-	JMHX01	319549	-	-	2014/10/30	2014/11/10	Chromosome	Proboscis Monkey Functional Genome Consortium	SAMN02689222
Drosophila melanogaster	7227	PRJNA237120	237120	Animals	Insects	164.08	41.8	GCA_000778455.1	-	-	-	JSAE01	789	-	-	2014/11/13	2016/03/21	Contig	Pacific Biosciences	SAMN02614627
Conyza canadensis	72917	PRJNA248374	248374	Plants	Land Plants	326.165	-	GCA_000775935.1	-	-	-	JSWR01	-	-	-	2014/11/13	2015/04/07	Contig	University of Tennessee	SAMN02798061
Cyprinodon nevadensis pectoralis	69242	PRJNA254053	254053	Animals	Fishes	1011.85	-	GCA_000776015.1	-	-	-	JSUU01	96516	-	-	2014/11/13	2014/11/13	Scaffold	University of Colorado, Boulder	SAMN03072616
