#Organism/Name	Kingdom	Group	SubGroup	Plasmid Name	RefSeq	INSDC	Size (Kb)	GC%	Protein	rRNA	tRNA	Other RNA	Gene	Pseudogene
Lawsonia intracellularis PHE/MN1-00	Bacteria	Proteobacteria	delta/epsilon subdivisions	1	NC_008012.1	AM180253	27.048	29.0484	29	-	-	-	30	1
Lawsonia intracellularis PHE/MN1-00	Bacteria	Proteobacteria	delta/epsilon subdivisions	2	NC_008013.1	AM180254	39.794	29.2331	28	-	-	-	28	-
Lawsonia intracellularis PHE/MN1-00	Bacteria	Proteobacteria	delta/epsilon subdivisions	3	NC_008014.1	AM180255	194.553	32.9093	111	-	-	-	112	1
Legionella fallonii LLAP-10	Bacteria	Proteobacteria	Gammaproteobacteria	III	NZ_LN614829.1	LN614829	14.566	35.473	13	-	-	-	13	-
Legionella fallonii LLAP-10	Bacteria	Proteobacteria	Gammaproteobacteria	II	NZ_LN614828.1	LN614828	238.761	39.0604	221	-	-	-	229	8
Legionella hackeliae ATCC 35250	Bacteria	Proteobacteria	Gammaproteobacteria	II	NZ_LN681226.1	LN681226	129.882	37.4571	130	-	-	-	137	7
Legionella longbeachae NSW150	Bacteria	Proteobacteria	Gammaproteobacteria	pLLO	NC_014544.1	FN650141	71.826	38.1881	67	-	-	-	71	4
Legionella oakridgensis ATCC 33761 = DSM 21215	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed	NZ_CP004007.1	CP004007	50.245	39.8388	42	-	-	-	43	1
Legionella pneumophila str. Lens	Bacteria	Proteobacteria	Gammaproteobacteria	pLPL	NC_006366.1	CR628339	59.832	38.3858	52	-	-	-	53	1
Legionella pneumophila str. Paris	Bacteria	Proteobacteria	Gammaproteobacteria	pLPP	NC_006365.1	CR628338	131.885	37.4387	134	-	-	-	140	6
Legionella pneumophila subsp. pneumophila Lorraine	Bacteria	Proteobacteria	Gammaproteobacteria	pLELO	NC_018141.1	FQ958212	150.432	38.0896	151	-	-	-	156	5
Legionella pneumophila subsp. pneumophila LPE509	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed	NC_020522.1	CP003886	73.49	40.3402	70	-	-	-	77	7
Leisingera methylohalidivorans DSM 14336	Bacteria	Proteobacteria	Alphaproteobacteria	unnamed	NC_023146.1	CP006774	220.701	62.4664	187	-	-	-	198	11
Leisingera methylohalidivorans DSM 14336	Bacteria	Proteobacteria	Alphaproteobacteria	unnamed2	NC_023136.1	CP006775	285.395	61.6202	234	-	-	-	258	24
Leptolyngbya boryana	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	pPBS1	NC_002141.1	AF176225	1.511	47.1211	-	-	-	-	-	-
Leptolyngbya foveolarum M-43	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Plasmid pPF1	NC_002061.1	D10842	1.509	47.051	2	-	-	-	2	-
Leptolyngbya sp. NIES-3755	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	plasmid2	-	AP017310.1	98.206	48.5449	52	-	-	-	52	-
Leptolyngbya sp. NIES-3755	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	plasmid1	-	AP017309.1	325.675	47.0134	323	-	-	-	323	-
Leptolyngbya sp. NIES-3755	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	plasmid3	-	AP017311.1	92.964	47.3474	101	-	-	-	101	-
Leptolyngbya sp. PCC 6402	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	pRF1	NC_004964.1	S46711	4.194	43.6814	6	-	-	-	7	-
Leptospira biflexa serovar Patoc strain 'Patoc 1 (Ames)'	Bacteria	Spirochaetes	Spirochaetia	p74	NC_010846.1	CP000779	74.117	37.4664	60	-	-	-	60	-
Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)'	Bacteria	Spirochaetes	Spirochaetia	p74	NC_010844.1	CP000788	74.116	37.4683	59	-	-	-	60	1
Leptospira borgpetersenii serovar Ballum 56604	Bacteria	Spirochaetes	Spirochaetia	lbp2	NZ_CP012032.1	CP012032	59.545	39.6524	40	-	-	-	43	3
Leptospira borgpetersenii serovar Ballum 56604	Bacteria	Spirochaetes	Spirochaetia	lbp1	NZ_CP012031.1	CP012031	65.435	41.0331	44	-	1	-	54	9
Leptospira interrogans Gui44	Bacteria	Spirochaetes	Spirochaetia	pGui2	NC_025197.1	KF648558	66.851	33.3338	63	-	-	-	63	-
Leptospira interrogans Gui44	Bacteria	Spirochaetes	Spirochaetia	pGui1	NC_025136.1	KF648557	74.981	34.6314	62	-	-	-	62	-
Leptospira interrogans 56601	Bacteria	Spirochaetes	Spirochaetia	Laicp	NC_025151.1	KJ586855	64.215	34.6368	60	-	-	-	60	-
Leptospira interrogans serovar Linhai str. 56609	Bacteria	Spirochaetes	Spirochaetia	lcp3	NZ_CP006727.1	CP006727	54.986	39.4282	86	-	-	-	88	2
Leptospira interrogans serovar Linhai str. 56609	Bacteria	Spirochaetes	Spirochaetia	lcp1	NZ_CP006725.1	CP006725	67.282	35.913	74	-	-	-	75	1
Leptospira interrogans serovar Linhai str. 56609	Bacteria	Spirochaetes	Spirochaetia	lcp2	NZ_CP006726.1	CP006726	56.757	34.6671	50	-	-	-	53	3
Leptospira interrogans serovar Manilae UP-MMC-NIID LP	Bacteria	Spirochaetes	Spirochaetia	pLIMLP1	NZ_CP011933.1	CP011933	70.055	34.5371	65	-	-	-	69	4
Leptospira interrogans serovar Manilae UP-MMC-NIID HP	Bacteria	Spirochaetes	Spirochaetia	pLIMHP1	NZ_CP011936.1	CP011936	70.055	34.5371	65	-	-	-	69	4
Leptospirillum ferrooxidans ATCC 49879	Bacteria	Nitrospirae	Nitrospira	p49879.2	NC_006909.1	AY941099	28.012	55.1871	33	-	-	-	33	-
Leptospirillum ferrooxidans ATCC 49879	Bacteria	Nitrospirae	Nitrospira	p49879.1	NC_006907.1	AY941098	28.878	57.7706	32	-	-	-	32	-
Leuconostoc carnosum JB16	Bacteria	Terrabacteria group	Firmicutes	pKLC3	NC_018675.1	CP003854	40.165	35.2919	43	-	-	-	44	1
Leuconostoc carnosum JB16	Bacteria	Terrabacteria group	Firmicutes	pKLC2	NC_018698.1	CP003853	29.615	35.4955	31	-	-	-	33	2
Leuconostoc carnosum JB16	Bacteria	Terrabacteria group	Firmicutes	pKLC1	NC_018674.1	CP003852	21.99	38.0264	17	-	-	-	20	3
Leuconostoc carnosum JB16	Bacteria	Terrabacteria group	Firmicutes	pKLC4	NC_018699.1	CP003855	36.602	34.9298	36	-	-	-	38	2
Leuconostoc citreum	Bacteria	Terrabacteria group	Firmicutes	pCB42	NC_010312.2	AB360637	4.312	34.5779	6	-	-	-	6	-
Leuconostoc citreum 22R	Bacteria	Terrabacteria group	Firmicutes	pLC22R	NC_004528.1	AJ493278	9.935	32.9341	10	-	-	-	12	-
Leuconostoc citreum C4	Bacteria	Terrabacteria group	Firmicutes	pCC3	NC_012562.1	FJ040197	3.338	33.2235	3	-	-	-	3	-
Leuconostoc citreum	Bacteria	Terrabacteria group	Firmicutes	pNS75	NC_025158.1	AY790924	1.821	39.2092	1	-	-	-	1	-
Leuconostoc citreum	Bacteria	Terrabacteria group	Firmicutes	pIH01	NC_006822.1	AY737645	1.822	39.2426	1	-	-	-	1	-
Leuconostoc citreum KM20	Bacteria	Terrabacteria group	Firmicutes	pLCK1	NC_010470.1	DQ489740	38.713	37.3905	37	-	-	-	43	6
Leuconostoc citreum KM20	Bacteria	Terrabacteria group	Firmicutes	pLCK4	NC_010469.1	DQ489739	12.183	36.9121	14	-	-	-	14	-
Leuconostoc citreum KM20	Bacteria	Terrabacteria group	Firmicutes	pLCK2	NC_010466.1	DQ489737	31.463	37.9652	29	-	-	-	35	6
Leuconostoc citreum KM20	Bacteria	Terrabacteria group	Firmicutes	pLCK3	NC_010467.1	DQ489738	17.971	33.0032	20	-	-	-	21	1
Leuconostoc gelidum subsp. gasicomitatum KG16-1	Bacteria	Terrabacteria group	Firmicutes	IV	NZ_LN890334.1	LN890334	19.683	38.6628	15	-	-	-	18	3
Leuconostoc gelidum subsp. gasicomitatum KG16-1	Bacteria	Terrabacteria group	Firmicutes	II	NZ_LN890332.1	LN890332	35.714	37.2459	34	-	-	-	36	2
Leuconostoc gelidum subsp. gasicomitatum KG16-1	Bacteria	Terrabacteria group	Firmicutes	III	NZ_LN890333.1	LN890333	29.494	31.9353	32	-	-	-	32	-
Leuconostoc kimchii IMSNU 11154	Bacteria	Terrabacteria group	Firmicutes	LkipL4726	NC_014134.1	CP001756	29.616	35.5078	30	-	-	-	32	2
Leuconostoc kimchii IMSNU 11154	Bacteria	Terrabacteria group	Firmicutes	LkipL4701	NC_014131.1	CP001753	21.055	34.2531	18	-	-	-	19	1
Leuconostoc kimchii IMSNU 11154	Bacteria	Terrabacteria group	Firmicutes	LkipL4719	NC_014133.1	CP001755	21.924	39.085	18	-	-	-	19	1
Leuconostoc kimchii IMSNU 11154	Bacteria	Terrabacteria group	Firmicutes	LkipL48	NC_014135.1	CP001757	3.196	37.0776	4	-	-	-	4	-
Leuconostoc kimchii IMSNU 11154	Bacteria	Terrabacteria group	Firmicutes	LkipL4704	NC_014132.1	CP001754	23.275	35.5489	19	-	-	-	19	-
Leuconostoc mesenteroides Y110	Bacteria	Terrabacteria group	Firmicutes	pTXL1	NC_005702.1	AJ272077	2.665	34.1463	3	-	-	-	3	-
Leuconostoc mesenteroides SY2	Bacteria	Terrabacteria group	Firmicutes	pFMBL1	NC_007207.1	AY648696	4.661	31.4525	2	-	-	-	2	-
Leuconostoc mesenteroides FR52	Bacteria	Terrabacteria group	Firmicutes	pFR18	NC_006145.1	Z99436	1.828	37.2538	1	-	-	-	1	-
Leuconostoc mesenteroides KCTC 3733	Bacteria	Terrabacteria group	Firmicutes	pMBLR00	NC_019353.1	JN106353	3.37	36.4985	3	-	-	-	3	-
Leuconostoc mesenteroides subsp. dextranicum DSM 20484	Bacteria	Terrabacteria group	Firmicutes	pDSM20484	NZ_CP012010.1	CP012010	36.094	39.9873	26	-	-	-	27	1
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Bacteria	Terrabacteria group	Firmicutes	pLEUM1	NC_008496.1	CP000415	37.367	35.3922	38	-	-	-	45	7
Leuconostoc mesenteroides subsp. mesenteroides J18	Bacteria	Terrabacteria group	Firmicutes	pKLE02	NC_016820.2	CP003103	35.428	35.1473	32	-	-	-	39	7
Leuconostoc mesenteroides subsp. mesenteroides J18	Bacteria	Terrabacteria group	Firmicutes	pKLE04	NC_016828.2	CP003105	19.293	35.1578	13	-	-	-	14	1
Leuconostoc mesenteroides subsp. mesenteroides J18	Bacteria	Terrabacteria group	Firmicutes	pKLE01	NC_016827.2	CP003102	37.252	34.8465	42	-	-	-	43	1
Leuconostoc mesenteroides subsp. mesenteroides J18	Bacteria	Terrabacteria group	Firmicutes	pKLE03	NC_016821.2	CP003104	24.548	38.2842	23	-	-	-	24	1
Listeria grayi DSM 20601 DSM20601	Bacteria	Terrabacteria group	Firmicutes	pLGUG1	NC_014496.1	FR667693	79.249	36.7828	88	-	-	-	88	-
Listeria innocua TTS-2011	Bacteria	Terrabacteria group	Firmicutes	pDB2011	NC_021513.1	KC456362	7.641	31.3702	7	-	-	-	7	-
Listeria innocua Clip11262	Bacteria	Terrabacteria group	Firmicutes	pLI100	NC_003383.1	AL592102	81.905	35.5204	73	-	-	-	80	7
Listeria monocytogenes R2-502	Bacteria	Terrabacteria group	Firmicutes	unnamed	NC_021828.1	CP006595	57.557	36.0321	57	-	-	-	60	3
Listeria monocytogenes N1-011A	Bacteria	Terrabacteria group	Firmicutes	unnamed	NC_022045.1	CP006611	148.959	37.0458	147	-	-	-	158	11
Listeria monocytogenes J1776	Bacteria	Terrabacteria group	Firmicutes	unnamed	NC_022046.1	CP006612	55.804	34.9222	58	-	-	-	64	6
Listeria monocytogenes J1817	Bacteria	Terrabacteria group	Firmicutes	unnamed	NC_022047.1	CP006613	55.804	34.924	58	-	-	-	64	6
Listeria monocytogenes J1926	Bacteria	Terrabacteria group	Firmicutes	unnamed	NC_022051.1	CP006614	55.803	34.9211	58	-	-	-	64	6
Listeria monocytogenes CFSAN008100	Bacteria	Terrabacteria group	Firmicutes	pCFSAN008100	NZ_CP011399.1	CP011399	68.224	35.6693	85	-	-	-	88	3
Listeria monocytogenes Lm1	Bacteria	Terrabacteria group	Firmicutes	pLM33	NC_014255.1	GU244485	32.307	36.1501	37	-	-	-	37	-
Listeria monocytogenes Lm N1546	Bacteria	Terrabacteria group	Firmicutes	pLmN1546	NZ_CP013725.1	CP013725	86.616	36.9805	85	-	-	-	90	5
Listeria monocytogenes CFSAN023459	Bacteria	Terrabacteria group	Firmicutes	CFSAN023459_01	NZ_CP014253.1	CP014253	12.949	36.358	12	-	-	-	15	3
Listeria monocytogenes CFSAN023459	Bacteria	Terrabacteria group	Firmicutes	CFSAN023459_02	NZ_CP014254.1	CP014254	52.687	35.0504	58	-	-	-	66	8
Listeria monocytogenes CFSAN010068	Bacteria	Terrabacteria group	Firmicutes	pCFSAN010068_01	NZ_CP014251.1	CP014251	55.521	36.7014	52	-	-	-	56	4
Listeria monocytogenes 08-5578 Aug-78	Bacteria	Terrabacteria group	Firmicutes	pLM5578	NC_013767.1	CP001603	77.054	36.5925	73	-	-	-	77	4
Listeria monocytogenes 6179	Bacteria	Terrabacteria group	Firmicutes	LM6179	NZ_HG813250.1	HG813250	62.206	36.5254	60	-	-	-	62	2
Listeria monocytogenes FSL J1-208	Bacteria	Terrabacteria group	Firmicutes	pLMIV	NZ_CM001470.1	CM001470	77.825	34.0161	74	-	-	-	77	3
Listeria monocytogenes R479a	Bacteria	Terrabacteria group	Firmicutes	II	NZ_HG813248.1	HG813248	86.652	36.9836	82	-	-	-	88	6
Listeria monocytogenes serotype 7 str. SLCC2482	Bacteria	Terrabacteria group	Firmicutes	pLM7UG1	NC_018888.1	FR667690	50.1	35.479	51	-	-	-	53	2
Listeria monocytogenes SLCC2372	Bacteria	Terrabacteria group	Firmicutes	pLM1-2cUG1	NC_018889.1	FR667691	50.1	35.481	52	-	-	-	53	1
Listeria monocytogenes SLCC2755	Bacteria	Terrabacteria group	Firmicutes	pLM1-2bUG1	NC_014495.1	FR667692	57.78	36.0384	56	-	-	-	61	5
Listonella anguillarum M3	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed	NC_022225.1	CP006701	66.164	42.6425	55	-	-	-	59	4
Loktanella hongkongensis DSM 17492	Bacteria	Proteobacteria	Alphaproteobacteria	pLokhon01	NZ_CM002675.1	CM002675	85.337	69.9954	80	-	-	-	83	3
Loktanella hongkongensis DSM 17492	Bacteria	Proteobacteria	Alphaproteobacteria	pLokhon02	NZ_CM002676.1	CM002676	103.367	69.439	86	-	-	-	86	-
Lysinibacillus sphaericus	Bacteria	Terrabacteria group	Firmicutes	pLG	NC_005242.1	AY325804	11.066	37.4661	23	-	-	-	23	-
Lysinibacillus sphaericus OT4b.25	Bacteria	Terrabacteria group	Firmicutes	unnamed	NZ_CP014644.1	CP014644	176.083	32.9941	201	-	-	-	201	-
Lysinibacillus sphaericus	Bacteria	Terrabacteria group	Firmicutes	unnamed	NZ_CP014857.1	CP014857	173.793	33.3454	200	-	-	-	200	-
Lysinibacillus sphaericus C3-41	Bacteria	Terrabacteria group	Firmicutes	pBsph	-	CP000818.1	177.642	33.102	187	-	-	-	187	-
Macrococcus caseolyticus JCSC5402	Bacteria	Terrabacteria group	Firmicutes	pMCCL7	NC_012002.1	AP009491	4.061	36.3211	5	-	-	-	5	-
Macrococcus caseolyticus JCSC5402	Bacteria	Terrabacteria group	Firmicutes	pMCCL4	NC_011998.1	AP009488	3.417	33.0699	3	-	-	-	3	-
Macrococcus caseolyticus JCSC5402	Bacteria	Terrabacteria group	Firmicutes	pMCCL2	NC_011996.1	AP009486	80.545	30.8176	84	-	-	-	84	-
Macrococcus caseolyticus JCSC5402	Bacteria	Terrabacteria group	Firmicutes	pMCCL3	NC_011997.1	AP009487	2.131	32.7076	2	-	-	-	2	-
Macrococcus caseolyticus JCSC5402	Bacteria	Terrabacteria group	Firmicutes	pMCCL5	NC_012000.1	AP009489	4.398	31.6053	5	-	-	-	5	-
Macrococcus caseolyticus JCSC5402	Bacteria	Terrabacteria group	Firmicutes	pMCCL8	NC_012003.1	AP009492	2.968	30.9636	3	-	-	-	3	-
Macrococcus caseolyticus JCSC5402	Bacteria	Terrabacteria group	Firmicutes	pMCCL6	NC_012001.1	AP009490	4.226	35.1633	5	-	-	-	5	-
Macrococcus caseolyticus JCSC5402	Bacteria	Terrabacteria group	Firmicutes	pMCCL1	NC_011995.1	AP009485	15.667	28.1803	16	-	-	-	16	-
Magnetospira sp. QH-2	Bacteria	Proteobacteria	Alphaproteobacteria	MGMAQ_p	NZ_FO538766.1	FO538766	31.063	54.8659	32	-	-	-	32	-
Magnetospirillum gryphiswaldense MSR-1	Bacteria	Proteobacteria	Alphaproteobacteria	pMSR-1	NC_009353.1	-	35.803	62.1708	38	-	-	-	38	-
Magnetospirillum magneticum MGT-1	Bacteria	Proteobacteria	Alphaproteobacteria	pMGT	NC_007706.1	AB116387	3.741	59.182	2	-	-	-	2	-
Magnetospirillum sp. XM-1	Bacteria	Proteobacteria	Alphaproteobacteria	II	-	LN997849.1	167.29	66.4798	186	-	-	-	186	-
Mannheimia haemolytica Th1405	Bacteria	Proteobacteria	Gammaproteobacteria	pMh1405	NC_019260.1	AB621552	7.674	60.933	6	-	-	-	7	-
Mannheimia haemolytica	Bacteria	Proteobacteria	Gammaproteobacteria	pCCK3259	NC_006976.1	AJ966516	5.317	39.6652	4	-	-	-	4	-
Mannheimia haemolytica	Bacteria	Proteobacteria	Gammaproteobacteria	pMHSCS1	NC_002637.1	AJ249249	4.992	46.234	7	-	-	-	7	-
Mannheimia varigena	Bacteria	Proteobacteria	Gammaproteobacteria	pMVSCS1	NC_003411.1	AJ319822	5.621	42.3946	5	-	-	-	5	-
Marinitoga piezophila KA3	Bacteria	Thermotogae	Thermotogae	pMARPI01	NC_016748.1	CP003258	13.386	26.5202	14	-	-	-	14	-
Marinobacter adhaerens HP15	Bacteria	Proteobacteria	Gammaproteobacteria	pHP-187	NC_017507.1	CP001980	187.465	50.9957	140	-	-	-	146	6
Marinobacter adhaerens HP15	Bacteria	Proteobacteria	Gammaproteobacteria	pHP-42	NC_017508.1	CP001979	42.349	53.5644	48	-	-	-	49	1
Marinobacter hydrocarbonoclasticus VT8	Bacteria	Proteobacteria	Gammaproteobacteria	pMAQU02	NC_008739.1	CP000516	213.29	53.1572	200	-	-	-	215	15
Marinobacter hydrocarbonoclasticus VT8	Bacteria	Proteobacteria	Gammaproteobacteria	pMAQU01	NC_008738.1	CP000515	239.623	54.0516	235	-	-	-	236	1
Marinobacter sp. P4B1	Bacteria	Proteobacteria	Gammaproteobacteria	pMARS01	NZ_CM003615.1	CM003615	144.935	52.9541	166	-	-	-	166	-
Marinococcus halophilus DSM 20408T	Bacteria	Terrabacteria group	Firmicutes	pPL1	NC_002094.1	U75508	3.874	38.9262	4	-	-	-	4	-
Marinovum algicola DG 898	Bacteria	Proteobacteria	Alphaproteobacteria	pMaD4	NZ_CP010859.1	CP010859	187.673	64.9555	174	-	-	-	177	3
Marinovum algicola DG 898	Bacteria	Proteobacteria	Alphaproteobacteria	pMaD9	NZ_CP010864.1	CP010864	98.626	64.9829	96	-	-	-	97	1
Marinovum algicola DG 898	Bacteria	Proteobacteria	Alphaproteobacteria	pMaD2	NZ_CP010857.1	CP010857	239.75	63.8198	212	-	-	-	216	4
Marinovum algicola DG 898	Bacteria	Proteobacteria	Alphaproteobacteria	pMaD7	NZ_CP010862.1	CP010862	115.171	67.1132	102	-	-	-	106	4
Marinovum algicola DG 898	Bacteria	Proteobacteria	Alphaproteobacteria	pMaD11	NZ_CP010866.1	CP010866	5.812	63.1968	7	-	-	-	7	-
Marinovum algicola DG 898	Bacteria	Proteobacteria	Alphaproteobacteria	pMaD1	NZ_CP010856.1	CP010856	254.955	61.485	224	-	-	-	234	10
Marinovum algicola DG 898	Bacteria	Proteobacteria	Alphaproteobacteria	pMaD10	NZ_CP010865.1	CP010865	52.512	68.4701	40	-	-	-	41	1
Marinovum algicola DG 898	Bacteria	Proteobacteria	Alphaproteobacteria	pMaD6	NZ_CP010861.1	CP010861	126.126	60.2128	119	-	-	-	125	6
Marinovum algicola DG 898	Bacteria	Proteobacteria	Alphaproteobacteria	pMaD3	NZ_CP010858.1	CP010858	189.941	64.9049	180	-	-	-	185	5
Marinovum algicola DG 898	Bacteria	Proteobacteria	Alphaproteobacteria	pMaD8	NZ_CP010863.1	CP010863	111.292	66.0703	107	-	-	-	108	1
Marinovum algicola DG 898	Bacteria	Proteobacteria	Alphaproteobacteria	pMaD5	NZ_CP010860.1	CP010860	143.401	66.5644	135	-	-	-	136	1
Marivirga tractuosa DSM 4126	Bacteria	FCB group	Bacteroidetes/Chlorobi group	pFTRAC01	NC_014750.1	CP002350	4.916	39.6867	8	-	-	-	8	-
Martelella sp. AD-3	Bacteria	Proteobacteria	Alphaproteobacteria	unnamed1	NZ_CP014276.1	CP014276	314.776	62.3113	276	-	1	-	285	8
Martelella sp. AD-3	Bacteria	Proteobacteria	Alphaproteobacteria	unnamed2	NZ_CP014277.1	CP014277	166.53	59.0212	157	-	-	-	162	5
Massilia sp. WG5	Bacteria	Proteobacteria	Betaproteobacteria	unnamed 2	NZ_CP012642.1	CP012642	14.623	63.1061	6	-	-	-	14	8
Massilia sp. WG5	Bacteria	Proteobacteria	Betaproteobacteria	unnamed 1	NZ_CP012641.1	CP012641	203.106	60.6737	180	-	-	-	193	13
Meiothermus silvanus DSM 9946	Bacteria	Terrabacteria group	Deinococcus-Thermus	pMESIL01	NC_014213.1	CP002043	347.854	64.5863	305	-	-	-	322	17
Meiothermus silvanus DSM 9946	Bacteria	Terrabacteria group	Deinococcus-Thermus	pMESIL02	NC_014214.1	CP002044	124.421	66.6688	131	-	-	-	132	1
Melissococcus plutonius 49.3	Bacteria	Terrabacteria group	Firmicutes	pMP19	NZ_CM003360.1	CM003360	19.43	31.6418	15	-	-	-	16	1
Melissococcus plutonius B5	Bacteria	Terrabacteria group	Firmicutes	pMP43	NZ_CM003359.1	CM003359	42.705	33.4621	63	-	-	-	65	2
Melissococcus plutonius ATCC 35311	Bacteria	Terrabacteria group	Firmicutes	pMP1	NC_015517.1	AP012201	177.718	29.1946	131	-	-	-	141	10
Mesorhizobium ciceri biovar biserrulae WSM1271	Bacteria	Proteobacteria	Alphaproteobacteria	pMESCI01	NC_014918.1	CP002448	425.539	60.6835	394	-	-	-	432	38
Mesorhizobium huakuii 7653R	Bacteria	Proteobacteria	Alphaproteobacteria	pMHb	NZ_CP006583.1	CP006583	323.475	59.5913	256	-	-	-	318	62
Mesorhizobium huakuii 7653R	Bacteria	Proteobacteria	Alphaproteobacteria	pMHa	NZ_CP006582.1	CP006582	193.835	59.8292	141	-	-	-	182	41
Mesorhizobium loti MAFF303099	Bacteria	Proteobacteria	Alphaproteobacteria	pMLa	NC_002679.1	BA000013	351.911	59.2863	309	-	-	-	327	18
Mesorhizobium loti MAFF303099	Bacteria	Proteobacteria	Alphaproteobacteria	pMLb	NC_002682.1	AP003017	208.315	59.8757	201	-	-	-	221	20
Mesotoga prima MesG1.Ag.4.2 mesG1.Ag.4.2	Bacteria	Thermotogae	Thermotogae	pTHEBA.01	NC_017935.1	CP003533	1.724	41.6473	2	-	-	-	2	-
Methanocaldococcus fervens AG86	Archaea	Euryarchaeota	Methanococci	pMEFER01	NC_013157.1	CP001697	22.19	32.785	31	-	-	-	31	-
Methanocaldococcus sp. FS406-22	Archaea	Euryarchaeota	Methanococci	pFS01	NC_013888.1	CP001902	12.197	31.6471	10	-	-	-	12	2
Methanocaldococcus vulcanius M7	Archaea	Euryarchaeota	Methanococci	pMETVU01	NC_013408.1	CP001788	10.704	46.3191	11	-	-	-	11	-
Methanocaldococcus vulcanius M7	Archaea	Euryarchaeota	Methanococci	pMETVU02	NC_013409.1	CP001789	4.704	30.0808	2	-	-	-	2	-
Methanococcus maripaludis C5	Archaea	Euryarchaeota	Methanococci	pURB500	NC_001811.1	U47023	8.285	27.242	18	-	-	-	18	-
Methanococcus maripaludis C5	Archaea	Euryarchaeota	Methanococci	pMMC501	NC_009136.1	CP000610	8.285	27.242	8	-	-	-	9	1
Methanohalobium evestigatum Z-7303	Archaea	Euryarchaeota	Methanomicrobia	pMETEV01	NC_014254.1	CP002070	163.915	33.6363	108	-	-	-	111	3
Methanohalophilus mahii	Archaea	Euryarchaeota	Methanomicrobia	pML	NC_005563.1	AY523658	2.158	40.8248	5	-	-	-	5	-
Methanomethylovorans hollandica DSM 15978	Archaea	Euryarchaeota	Methanomicrobia	pMETHO01	NC_019972.1	CP003363	285.109	35.4173	246	-	1	-	250	3
Methanosaeta concilii GP6	Archaea	Euryarchaeota	Methanomicrobia	pGP6	NC_015430.1	CP002566	18.019	43.8815	18	-	-	-	18	-
Methanosaeta harundinacea 6Ac	Archaea	Euryarchaeota	Methanomicrobia	pH6Ac	NC_016637.1	CP003118	11.991	53.9738	13	-	-	-	13	-
Methanosarcina acetivorans C2A	Archaea	Euryarchaeota	Methanomicrobia	pC2A	NC_002097.1	U78295	5.467	37.5343	4	-	-	-	4	-
Methanosarcina barkeri 227	Archaea	Euryarchaeota	Methanomicrobia	unnamed	NZ_CP009529.1	CP009529	39.586	35.7879	24	-	-	-	24	-
Methanosarcina barkeri MS	Archaea	Euryarchaeota	Methanomicrobia	unnamed	NZ_CP009527.1	CP009527	41.698	35.8458	22	-	-	-	23	1
Methanosarcina barkeri str. Fusaro	Archaea	Euryarchaeota	Methanomicrobia	1	NC_007349.1	CP000098	36.358	33.5937	20	-	-	-	22	2
Methanosarcina barkeri str. Wiesmoor	Archaea	Euryarchaeota	Methanomicrobia	unnamed	NZ_CP009525.1	CP009525	32.371	34.3363	19	-	-	-	22	3
Methanosarcina sp. Kolksee	Archaea	Euryarchaeota	Methanomicrobia	unnamed	NZ_CP009523.1	CP009523	54.381	34.3153	36	-	-	-	36	-
Methanosarcina vacuolata Z-761	Archaea	Euryarchaeota	Methanomicrobia	unnamed	NZ_CP009519.1	CP009519	58.133	34.5432	39	-	-	-	39	-
Methanothermobacter marburgensis str. Marburg	Archaea	Euryarchaeota	Methanobacteria	pMTBMA4	NC_014409.1	CP001711	4.44	45.4054	4	-	-	-	4	-
Methanothermobacter sp. CaT2	Archaea	Euryarchaeota	Methanobacteria	pCaT2	NZ_AP011953.1	AP011953	11.015	42.5057	14	-	-	-	14	-
Methanothermobacter thermautotrophicus Z-245	Archaea	Euryarchaeota	Methanobacteria	pFZ1	NC_001337.1	X68367	11.014	42.5095	11	-	-	-	11	-
Methanothermobacter thermautotrophicus ZH3	Archaea	Euryarchaeota	Methanobacteria	pME2200	NC_000905.1	AF145236	6.205	45.2538	6	-	-	1	7	-
Methanothermobacter thermautotrophicus THF	Archaea	Euryarchaeota	Methanobacteria	pFV1	NC_001336.1	X68366	13.514	41.7715	13	-	-	-	13	-
Methanothermobacter thermautotrophicus Marburg	Archaea	Euryarchaeota	Methanobacteria	pME2001	NC_002125.1	X17205	4.439	45.4156	4	-	-	-	4	-
Methanothermococcus okinawensis IH1	Archaea	Euryarchaeota	Methanococci	pMETOK01	NC_015632.1	CP002793	14.93	26.8386	9	-	-	-	9	-
Methylibium petroleiphilum PM1	Bacteria	Proteobacteria	Betaproteobacteria	RPME01	NC_008826.1	CP000556	599.444	65.9763	606	-	26	-	647	15
Methylibium sp. T29	Bacteria	Proteobacteria	Betaproteobacteria	pT29A	NC_024957.1	KJ598491	86.856	67.0823	91	-	-	-	91	-
